book_name,name,llm_classification,total_adjectives,top_adjectives,adjectives
A_Country_Doctor,jimmy,2,2,little:2,{'little': 2}
Adam_Bede,charles edward,2,1,radiant:1,{'radiant': 1}
Adam_Bede,chisse,1,1,old:1,{'old': 1}
Adam_Bede,claudine,1,3,"poor:1, sure:1, troublesome:1","{'poor': 1, 'sure': 1, 'troublesome': 1}"
Adam_Bede,cursy,1,1,remarkable:1,{'remarkable': 1}
Adam_Bede,du bruel,2,2,"old:1, major:1","{'old': 1, 'major': 1}"
Adam_Bede,he,2,16,"about:2, preferred:2, clever:2, strange:2, right:2","{'fair': 1, 'great': 1, 'about': 2, 'preferred': 2, 'clever': 2, 'strange': 2, 'right': 2, 'frightened': 2, 'wroth': 2}"
Adam_Bede,heine,2,1,dear:1,{'dear': 1}
Adam_Bede,lauzun,2,1,much:1,{'much': 1}
Adam_Bede,maxim,2,1,salutary:1,{'salutary': 1}
Adam_Bede,napoleon,2,1,ready:1,{'ready': 1}
Adam_Bede,nathan,2,2,dear:2,{'dear': 2}
Adam_Bede,tullia,1,4,"careful:1, fond:1, unfaithful:1, irresistible:1","{'careful': 1, 'fond': 1, 'unfaithful': 1, 'irresistible': 1}"
Adam_Bede,vestris,2,1,aged:1,{'aged': 1}
Bartleby_the_Scrivener,adam,2,1,old:1,{'old': 1}
Bartleby_the_Scrivener,bartleby,2,11,"first:1, hot:1, spicy:1, exempt:1, sorry:1","{'first': 1, 'hot': 1, 'spicy': 1, 'exempt': 1, 'sorry': 1, 'little': 1, 'inflexible': 1, 'alive': 1, 'unaccountable': 1, 'immovable': 1, 'poor': 1}"
Bartleby_the_Scrivener,john jacob astor,2,3,late:3,{'late': 3}
Bartleby_the_Scrivener,marius,2,1,populous:1,{'populous': 1}
Bartleby_the_Scrivener,nay,1,1,more:1,{'more': 1}
The_Thief_Taker_s_Blade,jerric,2,2,"old:1, tall:1","{'old': 1, 'tall': 1}"
The_Thief_Taker_s_Blade,kakrim,1,1,closer:1,{'closer': 1}
The_Thief_Taker_s_Blade,kasmin,1,4,"rigid:1, good:1, free:1, most:1","{'rigid': 1, 'good': 1, 'free': 1, 'most': 1}"
The_Thief_Taker_s_Blade,kol,2,2,"annoyed:1, hearted:1","{'annoyed': 1, 'hearted': 1}"
The_Thief_Taker_s_Blade,kyra,1,1,general:1,{'general': 1}
The_Thief_Taker_s_Blade,orimel,1,1,alive:1,{'alive': 1}
The_Thief_Taker_s_Blade,syannis,2,6,"sure:2, cold:1, lively:1, ready:1, much:1","{'cold': 1, 'lively': 1, 'ready': 1, 'much': 1, 'sure': 2}"
The_Thief_Taker_s_Blade,taiytakei,2,1,precious:1,{'precious': 1}
The_Thief_Taker_s_Blade,takis,2,1,other:1,{'other': 1}
Importance_of_Being_Earnest,algernon,2,5,"delightful:1, clever:1, good:1, nice:1, engaged:1","{'delightful': 1, 'clever': 1, 'good': 1, 'nice': 1, 'engaged': 1}"
Importance_of_Being_Earnest,algy,2,7,"dear:5, pure:1, simple:1","{'dear': 5, 'pure': 1, 'simple': 1}"
Importance_of_Being_Earnest,augusta,1,1,dear:1,{'dear': 1}
Importance_of_Being_Earnest,bunbury,2,11,"poor:4, wonderful:2, invaluable:1, conscious:1, right:1","{'invaluable': 1, 'poor': 4, 'conscious': 1, 'right': 1, 'wonderful': 2, 'dead': 1, 'interested': 1}"
Importance_of_Being_Earnest,cecily,1,5,"little:2, small:1, dear:1, old:1","{'little': 2, 'small': 1, 'dear': 1, 'old': 1}"
Importance_of_Being_Earnest,enter algernon,2,1,gay:1,{'gay': 1}
Importance_of_Being_Earnest,ernest,2,5,"own:3, dear:1, profligate:1","{'dear': 1, 'own': 3, 'profligate': 1}"
Importance_of_Being_Earnest,gwendolen,1,4,"devoted:1, right:1, sweet:1, invaluable:1","{'devoted': 1, 'right': 1, 'sweet': 1, 'invaluable': 1}"
Importance_of_Being_Earnest,jack,2,5,"furious:2, charming:1, old:1, dear:1","{'charming': 1, 'old': 1, 'furious': 2, 'dear': 1}"
Importance_of_Being_Earnest,jacks,2,1,several:1,{'several': 1}
Importance_of_Being_Earnest,lancing,2,1,young:1,{'young': 1}
Importance_of_Being_Earnest,thomas cardew,2,3,"late:2, old:1","{'old': 1, 'late': 2}"
Importance_of_Being_Earnest,uncle jack,2,5,"dear:1, serious:1, nice:1, annoyed:1, agitated:1","{'dear': 1, 'serious': 1, 'nice': 1, 'annoyed': 1, 'agitated': 1}"
The_Monk,berthe,1,1,difficult:1,{'difficult': 1}
The_Monk,charnot,2,3,"aware:1, pleased:1, dear:1","{'aware': 1, 'pleased': 1, 'dear': 1}"
The_Monk,fabien,2,1,dear:1,{'dear': 1}
The_Monk,felix,2,1,impulse:1,{'impulse': 1}
The_Monk,flamaran,1,2,"ill:1, old:1","{'ill': 1, 'old': 1}"
The_Monk,gala,1,1,gigantic:1,{'gigantic': 1}
The_Monk,jeanne,1,4,"prettier:1, charming:1, full:1, nervous:1","{'prettier': 1, 'charming': 1, 'full': 1, 'nervous': 1}"
The_Monk,jupille,1,1,pale:1,{'pale': 1}
The_Monk,lorinet,1,1,anxious:1,{'anxious': 1}
